,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
549,如皋,32.371611,120.573824,-0.094714641,0.094695915,-0.05877645,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Z,Cluster 2,Cluster 2_b,Cluster 6,Z,Cluster 6,Z,Cluster 4,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
550,通州,32.067639,121.07298,-0.026930902,0.149023323,-0.126302839,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_b,Cluster 3,Z,Cluster 6,Z,Cluster 1,Z,Cluster 3,Z,Cluster 7,Cluster 7_a
551,苏州,31.298348,120.583189,0.097888567,0.25241328,-0.168864589,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
552,常熟,31.65382,120.752237,0.093744178,0.247062193,-0.172902089,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
553,昆山,31.384739,120.981786,0.077880903,0.259892849,-0.183181959,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
554,太仓,31.459119,121.129752,0.083108775,0.253635864,-0.183858448,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
555,吴江,31.139136,120.64515,0.077463035,0.257813183,-0.159468163,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
556,张家港,31.875483,120.555502,0.090072723,0.254788283,-0.154742705,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
557,泗洪,33.45901,118.216245,-0.227667833,-0.023008781,-0.0508068,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_b,Cluster 2,Z,Cluster 7,Z,Cluster 6,Cluster 6_b,Cluster 9,Cluster 9_a,Cluster 2,Cluster 2_a
558,宿迁,33.961929,118.275478,-0.258462535,-0.053881815,-0.040680071,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Z,Cluster 1,Z,Cluster 6,Z
559,靖江官_江峰,31.951805,120.259965,-0.108221024,0.077067721,-0.073283856,Cluster 2,Cluster 2_a,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 5,Z,Cluster 8,Z
